knot,crossing,interval,det_table,det_plumbing,signature,conway,montesinos,fractions,weights,arms,maps_per_orientation,basic_graph,basic_minus_graph,niwu_graph,niwu_minus_graph,obstructed_basic,obstructed_full,time_seconds,error
12n_47,12,"[1,2]",59,59,-2,[4 1 1;2 1 1;2-],K(1/2;3/5;-4/9),"(1/2, 3/5, -4/9)","[-2, -2, -3, -2, -3, -2, -2, -2]","[[2], [3, 2], [3, 2, 2, 2]]",118,0,0,0,0,True,True,5.568,
12n_48,12,"[1,2]",49,49,0,[-4 1 1;2 1 1;2],K(1/2;3/5;-5/9),"(1/2, 3/5, -5/9)","[-2, -2, -3, -2, -2, -5]","[[2], [3, 2], [2, 5]]",98,0,0,0,0,True,True,0.813,
12n_154,12,"[1,2]",47,47,2,[2 2 3;2 1;2-],K(1/2;2/3;-12/17),"(1/2, 2/3, -12/17)","[-2, -2, -3, -2, -2, -4, -2]","[[2], [3], [2, 2, 4, 2]]",94,0,0,0,0,True,True,2.021,
12n_159,12,"[1,2]",55,55,2,[2 2 2 1;-2 1;2],K(1/2;-2/3;12/17),"(1/2, -2/3, 12/17)","[-2, -2, -2, -2, -4, -2, -3]","[[2], [2, 2], [4, 2, 3]]",220,0,0,0,0,True,True,2.16,
12n_160,12,"[1,2]",53,53,0,[2 2 1 1 1;-2 1;2],K(1/2;-2/3;12/19),"(1/2, -2/3, 12/19)","[-2, -2, -2, -2, -3, -4, -2]","[[2], [2, 2], [3, 4, 2]]",212,0,0,0,0,True,True,2.133,
12n_162,12,"[1,2]",61,61,0,[-2 2 1 1 1;2 1;2],K(1/2;2/3;-12/19),"(1/2, 2/3, -12/19)","[-2, -2, -3, -2, -3, -2, -3]","[[2], [3], [2, 3, 2, 3]]",244,0,0,0,0,True,True,2.417,
12n_167,12,"[1,3]",67,67,2,[4 2 1;2 1;2-],K(1/2;2/3;-4/13),"(1/2, 2/3, -4/13)","[-2, -2, -3, -4, -2, -2, -2]","[[2], [3], [4, 2, 2, 2]]",134,0,0,0,0,True,True,2.345,
12n_170,12,"[1,2]",81,81,0,[3 1 2 1;2 1;2-],K(1/2;2/3;-4/15),"(1/2, 2/3, -4/15)","[-2, -2, -3, -4, -4]","[[2], [3], [4, 4]]",162,0,0,0,0,True,True,0.742,
12n_238,12,"[1,2]",31,31,2,[-3 3 1;2 1;2],K(1/2;2/3;-10/13),"(1/2, 2/3, -10/13)","[-2, -2, -3, -2, -2, -2, -4]","[[2], [3], [2, 2, 2, 4]]",62,0,0,0,0,True,True,2.005,
12n_241,12,"[1,2]",59,59,2,[-3 2 1 1;2 1;2],K(1/2;2/3;-10/17),"(1/2, 2/3, -10/17)","[-2, -2, -3, -2, -4, -2, -2]","[[2], [3], [2, 4, 2, 2]]",118,0,0,0,0,True,True,2.309,
