database_row,knot,knotinfo_name,dt_name,alternating,crossing_number,input_interval,certified_lower_bound,output_interval,consequence,signature,determinant,seifert_size,algebraic_unknotting_in_workbook,already_implied_by_workbook,kind,field,field_order,prime,specialization,minimal_polynomial,nullity
11525,13n3667,13n_3667,13n_3667,N,13,"[1,2]",2,2,exact u=2,-2,243,16,,False,scalar,F_3,3,3,2,x-2,2
11542,13n3684,13n_3684,13n_3684,N,13,"[1,2]",2,2,exact u=2,-2,87,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11557,13n3699,13n_3699,13n_3699,N,13,"[1,2]",2,2,exact u=2,0,45,16,,False,scalar,F_3,3,3,2,x-2,2
11558,13n3700,13n_3700,13n_3700,N,13,"[1,3]",2,"[2,3]",improved,-2,99,16,,False,scalar,F_3,3,3,2,x-2,2
11573,13n3715,13n_3715,13n_3715,N,13,"[1,2]",2,2,exact u=2,-2,155,16,,False,extension,F_49,49,7,x,x^2+4*x+1,2
11575,13n3717,13n_3717,13n_3717,N,13,"[1,2]",2,2,exact u=2,-2,135,16,,False,scalar,F_3,3,3,2,x-2,2
11577,13n3719,13n_3719,13n_3719,N,13,"[1,2]",2,2,exact u=2,0,261,16,,False,scalar,F_3,3,3,2,x-2,2
11579,13n3721,13n_3721,13n_3721,N,13,"[1,3]",2,"[2,3]",improved,-2,255,16,,False,extension,F_49,49,7,x,x^2+4*x+1,2
11581,13n3723,13n_3723,13n_3723,N,13,"[1,2]",2,2,exact u=2,0,81,10,,False,scalar,F_3,3,3,2,x-2,2
11583,13n3725,13n_3725,13n_3725,N,13,"[1,2]",2,2,exact u=2,0,9,12,,False,scalar,F_3,3,3,2,x-2,2
11584,13n3726,13n_3726,13n_3726,N,13,"[1,2]",2,2,exact u=2,0,81,12,,False,scalar,F_3,3,3,2,x-2,2
11585,13n3727,13n_3727,13n_3727,N,13,"[1,2]",2,2,exact u=2,0,9,10,,False,scalar,F_3,3,3,2,x-2,2
11586,13n3728,13n_3728,13n_3728,N,13,"[1,3]",2,"[2,3]",improved,2,111,12,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11588,13n3730,13n_3730,13n_3730,N,13,"[1,2]",2,2,exact u=2,-2,135,16,,False,scalar,F_3,3,3,2,x-2,2
11758,13n3900,13n_3900,13n_3900,N,13,"[1,2]",2,2,exact u=2,0,25,12,,False,scalar,F_5,5,5,4,x-4,2
11760,13n3902,13n_3902,13n_3902,N,13,"[1,3]",2,"[2,3]",improved,-2,75,12,,False,scalar,F_5,5,5,4,x-4,2
11763,13n3905,13n_3905,13n_3905,N,13,"[1,2]",2,2,exact u=2,0,49,12,,False,scalar,F_7,7,7,6,x-6,2
11767,13n3909,13n_3909,13n_3909,N,13,"[1,2]",2,2,exact u=2,0,153,16,,False,scalar,F_3,3,3,2,x-2,2
11776,13n3918,13n_3918,13n_3918,N,13,"[1,2]",2,2,exact u=2,-2,175,10,,False,scalar,F_5,5,5,4,x-4,2
11779,13n3921,13n_3921,13n_3921,N,13,"[1,2]",2,2,exact u=2,0,49,10,,False,scalar,F_7,7,7,6,x-6,2
11781,13n3923,13n_3923,13n_3923,N,13,"[1,3]",2,"[2,3]",improved,-2,75,10,,False,scalar,F_5,5,5,4,x-4,2
11787,13n3929,13n_3929,13n_3929,N,13,"[1,2]",2,2,exact u=2,-2,175,12,,False,scalar,F_5,5,5,4,x-4,2
11798,13n3940,13n_3940,13n_3940,N,13,"[1,2]",2,2,exact u=2,0,25,10,,False,scalar,F_5,5,5,4,x-4,2
11859,13n4001,13n_4001,13n_4001,N,13,"[1,2]",2,2,exact u=2,-2,39,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11904,13n4046,13n_4046,13n_4046,N,13,"[1,2]",2,2,exact u=2,-2,107,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11906,13n4048,13n_4048,13n_4048,N,13,"[1,2]",2,2,exact u=2,0,181,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11935,13n4077,13n_4077,13n_4077,N,13,"[1,2]",2,2,exact u=2,0,117,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11964,13n4106,13n_4106,13n_4106,N,13,"[1,2]",2,2,exact u=2,2,35,18,,False,quadratic,F_9,9,3,x,x^2+1,2
11965,13n4107,13n_4107,13n_4107,N,13,"[1,2]",2,2,exact u=2,-2,115,18,,False,extension,F_49,49,7,x,x^2+4*x+1,2
11970,13n4112,13n_4112,13n_4112,N,13,"[1,2]",2,2,exact u=2,0,17,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11971,13n4113,13n_4113,13n_4113,N,13,"[1,2]",2,2,exact u=2,0,145,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
11998,13n4140,13n_4140,13n_4140,N,13,"[1,2]",2,2,exact u=2,0,81,10,,False,scalar,F_3,3,3,2,x-2,2
12000,13n4142,13n_4142,13n_4142,N,13,"[1,2]",2,2,exact u=2,2,39,10,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
12031,13n4173,13n_4173,13n_4173,N,13,"[1,2]",2,2,exact u=2,-2,175,10,,False,scalar,F_5,5,5,4,x-4,2
12083,13n4225,13n_4225,13n_4225,N,13,"[1,2]",2,2,exact u=2,0,153,16,,False,scalar,F_3,3,3,2,x-2,2
12084,13n4226,13n_4226,13n_4226,N,13,"[1,3]",2,"[2,3]",improved,0,105,26,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12115,13n4257,13n_4257,13n_4257,N,13,"[1,2]",2,2,exact u=2,-2,63,18,,False,scalar,F_3,3,3,2,x-2,2
12120,13n4262,13n_4262,13n_4262,N,13,"[1,3]",2,"[2,3]",improved,2,175,18,,False,scalar,F_5,5,5,4,x-4,2
12121,13n4263,13n_4263,13n_4263,N,13,"[1,2]",2,2,exact u=2,0,165,28,,False,quadratic,F_9,9,3,x,x^2+1,2
12128,13n4270,13n_4270,13n_4270,N,13,"[1,2]",2,2,exact u=2,-2,135,10,,False,scalar,F_3,3,3,2,x-2,2
12132,13n4274,13n_4274,13n_4274,N,13,"[1,2]",2,2,exact u=2,-2,103,10,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
12133,13n4275,13n_4275,13n_4275,N,13,"[1,2]",2,2,exact u=2,0,129,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12144,13n4286,13n_4286,13n_4286,N,13,"[1,2]",2,2,exact u=2,2,19,16,,False,quadratic,F_9,9,3,x,x^2+1,2
12146,13n4288,13n_4288,13n_4288,N,13,"[1,2]",2,2,exact u=2,-2,103,16,,False,quadratic,F_9,9,3,x,x^2+1,2
12240,13n4382,13n_4382,13n_4382,N,13,"[1,2]",2,2,exact u=2,2,99,16,,False,quadratic,F_9,9,3,x,x^2+1,2
12242,13n4384,13n_4384,13n_4384,N,13,"[1,2]",2,2,exact u=2,0,9,16,,False,scalar,F_3,3,3,2,x-2,2
12245,13n4387,13n_4387,13n_4387,N,13,"[1,2]",2,2,exact u=2,2,171,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12246,13n4388,13n_4388,13n_4388,N,13,"[1,2]",2,2,exact u=2,0,133,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12253,13n4395,13n_4395,13n_4395,N,13,"[1,2]",2,2,exact u=2,2,35,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12330,13n4472,13n_4472,13n_4472,N,13,"[1,2]",2,2,exact u=2,0,1,10,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
12332,13n4474,13n_4474,13n_4474,N,13,"[1,2]",2,2,exact u=2,0,121,10,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
12341,13n4483,13n_4483,13n_4483,N,13,"[1,2]",2,2,exact u=2,2,151,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12342,13n4484,13n_4484,13n_4484,N,13,"[1,2]",2,2,exact u=2,-2,135,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12358,13n4500,13n_4500,13n_4500,N,13,"[1,2]",2,2,exact u=2,0,185,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12381,13n4523,13n_4523,13n_4523,N,13,"[1,2]",2,2,exact u=2,-2,255,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12411,13n4553,13n_4553,13n_4553,N,13,"[1,2]",2,2,exact u=2,-2,207,14,,False,scalar,F_3,3,3,2,x-2,2
12425,13n4567,13n_4567,13n_4567,N,13,"[1,2]",2,2,exact u=2,-2,123,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12428,13n4570,13n_4570,13n_4570,N,13,"[1,2]",2,2,exact u=2,0,109,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12432,13n4574,13n_4574,13n_4574,N,13,"[1,2]",2,2,exact u=2,2,59,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12507,13n4649,13n_4649,13n_4649,N,13,"[1,2]",2,2,exact u=2,0,77,18,,False,extension,F_49,49,7,x,x^2+3*x+1,2
12515,13n4657,13n_4657,13n_4657,N,13,"[1,2]",2,2,exact u=2,0,273,16,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
12521,13n4663,13n_4663,13n_4663,N,13,"[1,2]",2,2,exact u=2,2,171,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12529,13n4671,13n_4671,13n_4671,N,13,"[1,2]",2,2,exact u=2,2,135,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
12532,13n4674,13n_4674,13n_4674,N,13,"[1,3]",2,"[2,3]",improved,0,125,16,,False,scalar,F_5,5,5,4,x-4,2
