database_row,knot,knotinfo_name,dt_name,alternating,crossing_number,input_interval,certified_lower_bound,output_interval,consequence,signature,determinant,seifert_size,algebraic_unknotting_in_workbook,already_implied_by_workbook,kind,field,field_order,prime,specialization,minimal_polynomial,nullity
8018,13n160,13n_160,13n_160,N,13,"[1,2]",2,2,exact u=2,-2,175,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8019,13n161,13n_161,13n_161,N,13,"[1,2]",2,2,exact u=2,0,25,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8021,13n163,13n_163,13n_163,N,13,"[1,2]",2,2,exact u=2,0,205,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8022,13n164,13n_164,13n_164,N,13,"[1,2]",2,2,exact u=2,0,25,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8023,13n165,13n_165,13n_165,N,13,"[1,2]",2,2,exact u=2,2,175,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8024,13n166,13n_166,13n_166,N,13,"[1,2]",2,2,exact u=2,-2,155,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8025,13n167,13n_167,13n_167,N,13,"[1,2]",2,2,exact u=2,0,145,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8026,13n168,13n_168,13n_168,N,13,"[1,2]",2,2,exact u=2,2,55,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8031,13n173,13n_173,13n_173,N,13,"[1,2]",2,2,exact u=2,2,95,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8032,13n174,13n_174,13n_174,N,13,"[1,2]",2,2,exact u=2,-2,175,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8034,13n176,13n_176,13n_176,N,13,"[1,2]",2,2,exact u=2,0,25,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8035,13n177,13n_177,13n_177,N,13,"[1,2]",2,2,exact u=2,0,205,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8036,13n178,13n_178,13n_178,N,13,"[1,2]",2,2,exact u=2,-2,155,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8037,13n179,13n_179,13n_179,N,13,"[1,2]",2,2,exact u=2,0,145,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8038,13n180,13n_180,13n_180,N,13,"[1,2]",2,2,exact u=2,2,55,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8040,13n182,13n_182,13n_182,N,13,"[1,2]",2,2,exact u=2,2,95,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8068,13n210,13n_210,13n_210,N,13,"[1,2]",2,2,exact u=2,0,45,26,,False,scalar,F_3,3,3,2,x-2,2
8416,13n558,13n_558,13n_558,N,13,"[1,2]",2,2,exact u=2,0,57,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8420,13n562,13n_562,13n_562,N,13,"[1,2]",2,2,exact u=2,0,121,18,,False,quadratic,F_9,9,3,x,x^2+1,2
8427,13n569,13n_569,13n_569,N,13,"[1,2]",2,2,exact u=2,2,51,12,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8437,13n579,13n_579,13n_579,N,13,"[1,2]",2,2,exact u=2,0,25,28,,False,scalar,F_5,5,5,4,x-4,2
8467,13n609,13n_609,13n_609,N,13,"[1,2]",2,2,exact u=2,-2,171,12,,False,scalar,F_3,3,3,2,x-2,2
8468,13n610,13n_610,13n_610,N,13,"[1,2]",2,2,exact u=2,0,189,12,,False,scalar,F_3,3,3,2,x-2,2
8570,13n712,13n_712,13n_712,N,13,"[1,2]",2,2,exact u=2,0,125,12,,False,scalar,F_5,5,5,4,x-4,2
8572,13n714,13n_714,13n_714,N,13,"[1,3]",2,"[2,3]",improved,0,125,12,,False,scalar,F_5,5,5,4,x-4,2
8614,13n756,13n_756,13n_756,N,13,"[1,2]",2,2,exact u=2,0,1,20,,False,quadratic,F_9,9,3,x,x^2+1,2
8615,13n757,13n_757,13n_757,N,13,"[1,2]",2,2,exact u=2,0,169,20,,False,quadratic,F_9,9,3,x,x^2+1,2
8686,13n828,13n_828,13n_828,N,13,"[1,2]",2,2,exact u=2,-2,75,16,,False,scalar,F_5,5,5,4,x-4,2
8847,13n989,13n_989,13n_989,N,13,"[1,3]",2,"[2,3]",improved,2,75,12,,False,scalar,F_5,5,5,4,x-4,2
8852,13n994,13n_994,13n_994,N,13,"[1,3]",2,"[2,3]",improved,2,147,20,,False,scalar,F_7,7,7,6,x-6,2
8884,13n1026,13n_1026,13n_1026,N,13,"[1,2]",2,2,exact u=2,0,25,18,,False,scalar,F_5,5,5,4,x-4,2
8898,13n1040,13n_1040,13n_1040,N,13,"[1,2]",2,2,exact u=2,-2,275,20,,False,scalar,F_5,5,5,4,x-4,2
8900,13n1042,13n_1042,13n_1042,N,13,"[1,2]",2,2,exact u=2,-2,99,20,,False,scalar,F_3,3,3,2,x-2,2
8960,13n1102,13n_1102,13n_1102,N,13,"[1,2]",2,2,exact u=2,0,25,16,,False,scalar,F_5,5,5,4,x-4,2
8990,13n1132,13n_1132,13n_1132,N,13,"[1,2]",2,2,exact u=2,0,81,18,,False,quadratic,F_9,9,3,x,x^2+1,2
9211,13n1353,13n_1353,13n_1353,N,13,"[1,2]",2,2,exact u=2,-2,87,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9215,13n1357,13n_1357,13n_1357,N,13,"[1,2]",2,2,exact u=2,0,9,16,,False,quadratic,F_9,9,3,x,x^2+1,2
9217,13n1359,13n_1359,13n_1359,N,13,"[1,2]",2,2,exact u=2,2,171,14,,False,scalar,F_3,3,3,2,x-2,2
9218,13n1360,13n_1360,13n_1360,N,13,"[1,2]",2,2,exact u=2,2,171,14,,False,scalar,F_3,3,3,2,x-2,2
9235,13n1377,13n_1377,13n_1377,N,13,"[1,2]",2,2,exact u=2,-2,135,20,,False,scalar,F_3,3,3,2,x-2,2
9236,13n1378,13n_1378,13n_1378,N,13,"[1,2]",2,2,exact u=2,0,225,20,,False,scalar,F_3,3,3,2,x-2,2
9237,13n1379,13n_1379,13n_1379,N,13,"[1,2]",2,2,exact u=2,-2,135,20,,False,scalar,F_3,3,3,2,x-2,2
9250,13n1392,13n_1392,13n_1392,N,13,"[1,2]",2,2,exact u=2,0,49,28,,False,scalar,F_7,7,7,6,x-6,2
9258,13n1400,13n_1400,13n_1400,N,13,"[1,2]",2,2,exact u=2,-2,31,16,,False,quadratic,F_9,9,3,x,x^2+1,2
9267,13n1409,13n_1409,13n_1409,N,13,"[1,2]",2,2,exact u=2,2,75,26,,False,scalar,F_5,5,5,4,x-4,2
9315,13n1457,13n_1457,13n_1457,N,13,"[1,2]",2,2,exact u=2,-2,135,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9317,13n1459,13n_1459,13n_1459,N,13,"[1,2]",2,2,exact u=2,0,81,16,,False,scalar,F_3,3,3,2,x-2,2
9318,13n1460,13n_1460,13n_1460,N,13,"[1,2]",2,2,exact u=2,-2,63,16,,False,scalar,F_3,3,3,2,x-2,2
9319,13n1461,13n_1461,13n_1461,N,13,"[1,2]",2,2,exact u=2,0,45,16,,False,scalar,F_3,3,3,2,x-2,2
9320,13n1462,13n_1462,13n_1462,N,13,"[1,2]",2,2,exact u=2,2,207,16,,False,scalar,F_3,3,3,2,x-2,2
9326,13n1468,13n_1468,13n_1468,N,13,"[1,2]",2,2,exact u=2,2,135,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9339,13n1481,13n_1481,13n_1481,N,13,"[1,2]",2,2,exact u=2,0,121,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9366,13n1508,13n_1508,13n_1508,N,13,"[1,2]",2,2,exact u=2,0,77,16,,False,quadratic,F_25,25,5,x,x^2+x+1,2
9383,13n1525,13n_1525,13n_1525,N,13,"[1,2]",2,2,exact u=2,-2,171,16,,False,scalar,F_3,3,3,2,x-2,2
9415,13n1557,13n_1557,13n_1557,N,13,"[1,2]",2,2,exact u=2,2,171,18,,False,scalar,F_3,3,3,2,x-2,2
9441,13n1583,13n_1583,13n_1583,N,13,"[1,2]",2,2,exact u=2,-2,99,28,,False,scalar,F_3,3,3,2,x-2,2
9461,13n1603,13n_1603,13n_1603,N,13,"[1,2]",2,2,exact u=2,0,81,14,,False,scalar,F_3,3,3,2,x-2,2
9472,13n1614,13n_1614,13n_1614,N,13,"[1,2]",2,2,exact u=2,0,49,14,,False,scalar,F_7,7,7,6,x-6,2
9479,13n1621,13n_1621,13n_1621,N,13,"[1,2]",2,2,exact u=2,2,27,16,,False,scalar,F_3,3,3,2,x-2,2
9481,13n1623,13n_1623,13n_1623,N,13,"[1,2]",2,2,exact u=2,0,33,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9482,13n1624,13n_1624,13n_1624,N,13,"[1,2]",2,2,exact u=2,-2,183,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9522,13n1664,13n_1664,13n_1664,N,13,"[1,2]",2,2,exact u=2,0,81,26,,False,scalar,F_3,3,3,2,x-2,2
9523,13n1665,13n_1665,13n_1665,N,13,"[1,2]",2,2,exact u=2,2,171,26,,False,scalar,F_3,3,3,2,x-2,2
9524,13n1666,13n_1666,13n_1666,N,13,"[1,2]",2,2,exact u=2,0,9,26,,False,scalar,F_3,3,3,2,x-2,2
9546,13n1688,13n_1688,13n_1688,N,13,"[1,2]",2,2,exact u=2,0,49,10,,False,scalar,F_7,7,7,6,x-6,2
9591,13n1733,13n_1733,13n_1733,N,13,"[1,2]",2,2,exact u=2,0,25,18,,False,scalar,F_5,5,5,4,x-4,2
9651,13n1793,13n_1793,13n_1793,N,13,"[1,2]",2,2,exact u=2,2,99,10,,False,scalar,F_3,3,3,2,x-2,2
9654,13n1796,13n_1796,13n_1796,N,13,"[1,2]",2,2,exact u=2,0,117,12,,False,scalar,F_3,3,3,2,x-2,2
9655,13n1797,13n_1797,13n_1797,N,13,"[1,2]",2,2,exact u=2,-2,171,12,,False,scalar,F_3,3,3,2,x-2,2
9694,13n1836,13n_1836,13n_1836,N,13,"[1,2]",2,2,exact u=2,0,25,16,,False,scalar,F_5,5,5,4,x-4,2
9699,13n1841,13n_1841,13n_1841,N,13,"[1,2]",2,2,exact u=2,0,49,16,,False,scalar,F_7,7,7,6,x-6,2
9777,13n1919,13n_1919,13n_1919,N,13,"[1,2]",2,2,exact u=2,0,1,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9781,13n1923,13n_1923,13n_1923,N,13,"[1,2]",2,2,exact u=2,2,63,28,,False,scalar,F_3,3,3,2,x-2,2
9782,13n1924,13n_1924,13n_1924,N,13,"[1,2]",2,2,exact u=2,0,105,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9829,13n1971,13n_1971,13n_1971,N,13,"[1,2]",2,2,exact u=2,0,81,30,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9830,13n1972,13n_1972,13n_1972,N,13,"[1,2]",2,2,exact u=2,-2,111,30,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9837,13n1979,13n_1979,13n_1979,N,13,"[1,2]",2,2,exact u=2,2,63,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9847,13n1989,13n_1989,13n_1989,N,13,"[1,2]",2,2,exact u=2,0,121,28,,False,scalar,F_11,11,11,10,x-10,2
9850,13n1992,13n_1992,13n_1992,N,13,"[1,3]",2,"[2,3]",improved,-2,75,12,,False,scalar,F_5,5,5,4,x-4,2
9866,13n2008,13n_2008,13n_2008,N,13,"[1,3]",2,"[2,3]",improved,2,135,26,,False,scalar,F_3,3,3,2,x-2,2
9873,13n2015,13n_2015,13n_2015,N,13,"[1,2]",2,2,exact u=2,0,9,26,,False,scalar,F_3,3,3,2,x-2,2
9892,13n2034,13n_2034,13n_2034,N,13,"[1,3]",2,"[2,3]",improved,2,75,18,,False,scalar,F_5,5,5,4,x-4,2
9927,13n2069,13n_2069,13n_2069,N,13,"[1,2]",2,2,exact u=2,0,1,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
9982,13n2124,13n_2124,13n_2124,N,13,"[1,2]",2,2,exact u=2,-2,75,14,,False,quadratic,F_9,9,3,x,x^2+1,2
9996,13n2138,13n_2138,13n_2138,N,13,"[1,2]",2,2,exact u=2,0,121,10,,False,scalar,F_11,11,11,10,x-10,2
10013,13n2155,13n_2155,13n_2155,N,13,"[1,2]",2,2,exact u=2,-2,175,18,,False,scalar,F_5,5,5,4,x-4,2
10027,13n2169,13n_2169,13n_2169,N,13,"[1,2]",2,2,exact u=2,0,25,18,,False,scalar,F_5,5,5,4,x-4,2
10031,13n2173,13n_2173,13n_2173,N,13,"[1,2]",2,2,exact u=2,0,25,18,,False,scalar,F_5,5,5,4,x-4,2
10056,13n2198,13n_2198,13n_2198,N,13,"[1,2]",2,2,exact u=2,0,81,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10057,13n2199,13n_2199,13n_2199,N,13,"[1,2]",2,2,exact u=2,0,81,10,,False,scalar,F_3,3,3,2,x-2,2
10066,13n2208,13n_2208,13n_2208,N,13,"[1,2]",2,2,exact u=2,0,189,12,,False,scalar,F_3,3,3,2,x-2,2
10067,13n2209,13n_2209,13n_2209,N,13,"[1,2]",2,2,exact u=2,0,9,12,,False,scalar,F_3,3,3,2,x-2,2
10089,13n2231,13n_2231,13n_2231,N,13,"[1,2]",2,2,exact u=2,-2,123,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10103,13n2245,13n_2245,13n_2245,N,13,"[1,3]",2,"[2,3]",improved,2,175,16,,False,scalar,F_5,5,5,4,x-4,2
10119,13n2261,13n_2261,13n_2261,N,13,"[1,2]",2,2,exact u=2,-2,71,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10138,13n2280,13n_2280,13n_2280,N,13,"[1,2]",2,2,exact u=2,0,21,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10148,13n2290,13n_2290,13n_2290,N,13,"[1,2]",2,2,exact u=2,0,49,18,,False,scalar,F_7,7,7,6,x-6,2
10151,13n2293,13n_2293,13n_2293,N,13,"[1,2]",2,2,exact u=2,2,91,18,,False,quadratic,F_9,9,3,x,x^2+1,2
10159,13n2301,13n_2301,13n_2301,N,13,"[1,2]",2,2,exact u=2,-2,23,18,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
10168,13n2310,13n_2310,13n_2310,N,13,"[1,3]",2,"[2,3]",improved,2,95,18,,False,extension,F_16,16,2,x,x^4+x^3+x^2+x+1,2
10169,13n2311,13n_2311,13n_2311,N,13,"[1,2]",2,2,exact u=2,0,189,20,,False,scalar,F_3,3,3,2,x-2,2
10171,13n2313,13n_2313,13n_2313,N,13,"[1,2]",2,2,exact u=2,0,189,20,,False,scalar,F_3,3,3,2,x-2,2
10173,13n2315,13n_2315,13n_2315,N,13,"[1,2]",2,2,exact u=2,0,65,28,,False,quadratic,F_9,9,3,x,x^2+1,2
10240,13n2382,13n_2382,13n_2382,N,13,"[1,3]",2,"[2,3]",improved,-2,159,26,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10241,13n2383,13n_2383,13n_2383,N,13,"[1,3]",2,"[2,3]",improved,0,57,26,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10256,13n2398,13n_2398,13n_2398,N,13,"[1,2]",2,2,exact u=2,-2,99,20,,False,scalar,F_3,3,3,2,x-2,2
10258,13n2400,13n_2400,13n_2400,N,13,"[1,2]",2,2,exact u=2,0,9,22,,False,scalar,F_3,3,3,2,x-2,2
10259,13n2401,13n_2401,13n_2401,N,13,"[1,2]",2,2,exact u=2,0,9,22,,False,scalar,F_3,3,3,2,x-2,2
10265,13n2407,13n_2407,13n_2407,N,13,"[2,3]",3,3,exact u=3,-4,117,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10266,13n2408,13n_2408,13n_2408,N,13,"[1,3]",3,3,exact u=3,0,45,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10268,13n2410,13n_2410,13n_2410,N,13,"[1,3]",3,3,exact u=3,-2,99,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10269,13n2411,13n_2411,13n_2411,N,13,"[1,3]",3,3,exact u=3,0,45,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10270,13n2412,13n_2412,13n_2412,N,13,"[2,3]",3,3,exact u=3,4,117,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10271,13n2413,13n_2413,13n_2413,N,13,"[2,3]",3,3,exact u=3,-4,189,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10272,13n2414,13n_2414,13n_2414,N,13,"[1,3]",3,3,exact u=3,-2,99,16,,False,quadratic,F_4,4,2,x,x^2+x+1,3
10309,13n2451,13n_2451,13n_2451,N,13,"[1,2]",2,2,exact u=2,0,121,18,,False,scalar,F_11,11,11,10,x-10,2
10313,13n2455,13n_2455,13n_2455,N,13,"[1,2]",2,2,exact u=2,-2,171,32,,False,scalar,F_3,3,3,2,x-2,2
10324,13n2466,13n_2466,13n_2466,N,13,"[1,2]",2,2,exact u=2,0,9,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10325,13n2467,13n_2467,13n_2467,N,13,"[1,2]",2,2,exact u=2,-2,183,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10327,13n2469,13n_2469,13n_2469,N,13,"[1,2]",2,2,exact u=2,-2,175,16,,False,scalar,F_5,5,5,4,x-4,2
10374,13n2516,13n_2516,13n_2516,N,13,"[1,2]",2,2,exact u=2,-2,175,16,,False,scalar,F_5,5,5,4,x-4,2
10382,13n2524,13n_2524,13n_2524,N,13,"[1,2]",2,2,exact u=2,-2,115,14,,False,quadratic,F_9,9,3,x,x^2+1,2
10409,13n2551,13n_2551,13n_2551,N,13,"[1,2]",2,2,exact u=2,0,189,16,,False,scalar,F_3,3,3,2,x-2,2
10426,13n2568,13n_2568,13n_2568,N,13,"[1,2]",2,2,exact u=2,2,35,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10428,13n2570,13n_2570,13n_2570,N,13,"[1,2]",2,2,exact u=2,-2,15,12,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10431,13n2573,13n_2573,13n_2573,N,13,"[1,2]",2,2,exact u=2,-2,135,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10432,13n2574,13n_2574,13n_2574,N,13,"[1,2]",2,2,exact u=2,2,135,16,,False,scalar,F_3,3,3,2,x-2,2
10440,13n2582,13n_2582,13n_2582,N,13,"[1,2]",2,2,exact u=2,2,135,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10471,13n2613,13n_2613,13n_2613,N,13,"[1,3]",2,"[2,3]",improved,2,27,18,,False,scalar,F_3,3,3,2,x-2,2
10472,13n2614,13n_2614,13n_2614,N,13,"[1,2]",2,2,exact u=2,0,129,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10482,13n2624,13n_2624,13n_2624,N,13,"[1,2]",2,2,exact u=2,0,169,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10499,13n2641,13n_2641,13n_2641,N,13,"[1,2]",2,2,exact u=2,0,117,18,,False,scalar,F_3,3,3,2,x-2,2
10509,13n2651,13n_2651,13n_2651,N,13,"[1,2]",2,2,exact u=2,-2,63,16,,False,scalar,F_3,3,3,2,x-2,2
10512,13n2654,13n_2654,13n_2654,N,13,"[1,2]",2,2,exact u=2,2,135,16,,False,scalar,F_3,3,3,2,x-2,2
10514,13n2656,13n_2656,13n_2656,N,13,"[1,2]",2,2,exact u=2,0,1,18,,False,quadratic,F_9,9,3,x,x^2+1,2
10525,13n2667,13n_2667,13n_2667,N,13,"[1,2]",2,2,exact u=2,-2,135,16,,False,scalar,F_3,3,3,2,x-2,2
10526,13n2668,13n_2668,13n_2668,N,13,"[1,2]",2,2,exact u=2,0,121,18,,False,quadratic,F_9,9,3,x,x^2+1,2
10533,13n2675,13n_2675,13n_2675,N,13,"[1,2]",2,2,exact u=2,-2,135,12,,False,scalar,F_3,3,3,2,x-2,2
10542,13n2684,13n_2684,13n_2684,N,13,"[1,2]",2,2,exact u=2,-2,111,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10544,13n2686,13n_2686,13n_2686,N,13,"[1,2]",2,2,exact u=2,0,169,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10546,13n2688,13n_2688,13n_2688,N,13,"[1,3]",2,"[2,3]",improved,0,125,10,,False,scalar,F_5,5,5,4,x-4,2
10552,13n2694,13n_2694,13n_2694,N,13,"[1,2]",2,2,exact u=2,-2,147,16,,False,scalar,F_7,7,7,6,x-6,2
10554,13n2696,13n_2696,13n_2696,N,13,"[1,2]",2,2,exact u=2,0,145,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10581,13n2723,13n_2723,13n_2723,N,13,"[1,2]",2,2,exact u=2,-2,63,16,,False,scalar,F_3,3,3,2,x-2,2
10600,13n2742,13n_2742,13n_2742,N,13,"[1,2]",2,2,exact u=2,0,121,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10605,13n2747,13n_2747,13n_2747,N,13,"[1,2]",2,2,exact u=2,0,81,18,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10609,13n2751,13n_2751,13n_2751,N,13,"[1,2]",2,2,exact u=2,2,123,12,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10633,13n2775,13n_2775,13n_2775,N,13,"[1,2]",2,2,exact u=2,0,165,14,,False,quadratic,F_9,9,3,x,x^2+1,2
10649,13n2791,13n_2791,13n_2791,N,13,"[1,3]",2,"[2,3]",improved,2,75,16,,False,scalar,F_5,5,5,4,x-4,2
10670,13n2812,13n_2812,13n_2812,N,13,"[1,2]",2,2,exact u=2,2,27,10,,False,scalar,F_3,3,3,2,x-2,2
10678,13n2820,13n_2820,13n_2820,N,13,"[1,2]",2,2,exact u=2,2,95,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10690,13n2832,13n_2832,13n_2832,N,13,"[1,2]",2,2,exact u=2,2,119,28,,False,quadratic,F_4,4,2,x,x^2+x+1,2
10705,13n2847,13n_2847,13n_2847,N,13,"[1,2]",2,2,exact u=2,2,187,26,,False,scalar,F_5,5,5,2,x-2,2
10711,13n2853,13n_2853,13n_2853,N,13,"[1,2]",2,2,exact u=2,-2,135,12,,False,scalar,F_3,3,3,2,x-2,2
10718,13n2860,13n_2860,13n_2860,N,13,"[1,2]",2,2,exact u=2,0,153,12,,False,scalar,F_3,3,3,2,x-2,2
10719,13n2861,13n_2861,13n_2861,N,13,"[1,2]",2,2,exact u=2,0,117,12,,False,scalar,F_3,3,3,2,x-2,2
10722,13n2864,13n_2864,13n_2864,N,13,"[1,2]",2,2,exact u=2,-2,159,10,,False,quadratic,F_4,4,2,x,x^2+x+1,2
