knot,crossing_number,input_interval,signature_input,mirrored_to_positive_signature,determinant,goeritz_rank,m_G_zero,m_Q_zero,candidate_count,candidate_parameters,inequality_ok_for_all_candidates,congruence_ok_for_all_candidates,obstructs_u_2,new_interval,zero_energy,zero_characteristic_parity,goeritz_matrix,pd_notation
12a_693,12,"[2,3]",4,False,141,4,1,-1,3,"[{""m1"":2,""m2"":24,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":47,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,24,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":10,""a"":6,""two_m1_minus_1"":15,""two_m2_minus_1"":19,""matrix"":[[8,1,6,0],[1,2,0,0],[6,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":36,""m2"":36,""a"":35,""two_m1_minus_1"":71,""two_m2_minus_1"":71,""matrix"":[[36,1,35,0],[1,2,0,0],[35,0,36,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,1,1,1]","[[6,-1,0,-3],[-1,2,0,0],[0,0,5,-2],[-3,0,-2,5]]","[[1,5,2,4],[3,14,4,15],[5,10,6,11],[7,12,8,13],[9,21,10,20],[11,6,12,7],[13,17,14,16],[15,2,16,3],[17,22,18,23],[19,24,20,1],[21,9,22,8],[23,18,24,19]]"
12a_702,12,"[2,3]",4,False,165,4,1,-1,4,"[{""m1"":2,""m2"":28,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":55,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,28,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":0,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,0,0],[1,2,0,0],[0,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":10,""a"":7,""two_m1_minus_1"":19,""two_m2_minus_1"":19,""matrix"":[[10,1,7,0],[1,2,0,0],[7,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":42,""m2"":42,""a"":41,""two_m1_minus_1"":83,""two_m2_minus_1"":83,""matrix"":[[42,1,41,0],[1,2,0,0],[41,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,1,1,1]","[[6,-1,-2,-1],[-1,2,0,0],[-2,0,5,-2],[-1,0,-2,5]]","[[1,5,2,4],[3,14,4,15],[5,10,6,11],[7,19,8,18],[9,24,10,1],[11,20,12,21],[13,17,14,16],[15,2,16,3],[17,22,18,23],[19,7,20,6],[21,12,22,13],[23,8,24,9]]"
12a_869,12,"[2,3]",4,False,161,4,1,-1,5,"[{""m1"":2,""m2"":28,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":55,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,28,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":12,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":1,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,1,0],[1,2,0,0],[1,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":8,""a"":4,""two_m1_minus_1"":15,""two_m2_minus_1"":15,""matrix"":[[8,1,4,0],[1,2,0,0],[4,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":14,""m2"":16,""a"":13,""two_m1_minus_1"":27,""two_m2_minus_1"":31,""matrix"":[[14,1,13,0],[1,2,0,0],[13,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,1,0,0]","[[5,-3,0,-1],[-3,8,-1,-1],[0,-1,3,-1],[-1,-1,-1,3]]","[[1,7,2,6],[3,10,4,11],[5,13,6,12],[7,16,8,17],[9,18,10,19],[11,21,12,20],[13,22,14,23],[15,24,16,1],[17,8,18,9],[19,3,20,2],[21,4,22,5],[23,14,24,15]]"
12a_881,12,"[2,3]",4,False,89,3,1,-1,3,"[{""m1"":2,""m2"":16,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":31,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":8,""a"":2,""two_m1_minus_1"":7,""two_m2_minus_1"":15,""matrix"":[[4,1,2,0],[1,2,0,0],[2,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":10,""a"":7,""two_m1_minus_1"":15,""two_m2_minus_1"":19,""matrix"":[[8,1,7,0],[1,2,0,0],[7,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,7,"[0,0,1]","[[7,-1,-5],[-1,4,0],[-5,0,7]]","[[1,7,2,6],[3,11,4,10],[5,13,6,12],[7,18,8,19],[9,5,10,4],[11,3,12,2],[13,20,14,21],[15,22,16,23],[17,24,18,1],[19,8,20,9],[21,14,22,15],[23,16,24,17]]"
12a_967,12,"[2,3]",4,False,253,6,1,-1,2,"[{""m1"":6,""m2"":12,""a"":0,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,0,0],[1,2,0,0],[0,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":64,""m2"":64,""a"":63,""two_m1_minus_1"":127,""two_m2_minus_1"":127,""matrix"":[[64,1,63,0],[1,2,0,0],[63,0,64,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,10,"[0,0,1,1,1,0]","[[4,0,0,-1,-1,0],[0,3,-1,-1,-1,0],[0,-1,3,0,0,-1],[-1,-1,0,3,0,-1],[-1,-1,0,0,4,0],[0,0,-1,-1,0,2]]","[[1,7,2,6],[3,10,4,11],[5,18,6,19],[7,1,8,24],[9,14,10,15],[11,20,12,21],[13,4,14,5],[15,22,16,23],[17,8,18,9],[19,12,20,13],[21,2,22,3],[23,16,24,17]]"
12a_985,12,"[2,3]",4,False,157,5,1,-1,2,"[{""m1"":4,""m2"":12,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":40,""m2"":40,""a"":39,""two_m1_minus_1"":79,""two_m2_minus_1"":79,""matrix"":[[40,1,39,0],[1,2,0,0],[39,0,40,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,1,0]","[[4,-1,-1,-1,0],[-1,7,-2,0,-1],[-1,-2,4,0,0],[-1,0,0,2,-1],[0,-1,0,-1,2]]","[[1,7,2,6],[3,10,4,11],[5,21,6,20],[7,16,8,17],[9,18,10,19],[11,4,12,5],[13,22,14,23],[15,24,16,1],[17,8,18,9],[19,3,20,2],[21,14,22,15],[23,12,24,13]]"
12a_988,12,"[2,3]",4,False,125,5,1,-1,4,"[{""m1"":2,""m2"":22,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":43,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,22,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":12,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":8,""a"":5,""two_m1_minus_1"":15,""two_m2_minus_1"":15,""matrix"":[[8,1,5,0],[1,2,0,0],[5,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":32,""m2"":32,""a"":31,""two_m1_minus_1"":63,""two_m2_minus_1"":63,""matrix"":[[32,1,31,0],[1,2,0,0],[31,0,32,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,1,0]","[[6,-4,-1,0,0],[-4,7,-2,0,-1],[-1,-2,4,0,0],[0,0,0,2,-1],[0,-1,0,-1,2]]","[[1,7,2,6],[3,10,4,11],[5,21,6,20],[7,18,8,19],[9,16,10,17],[11,4,12,5],[13,22,14,23],[15,24,16,1],[17,8,18,9],[19,3,20,2],[21,12,22,13],[23,14,24,15]]"
12a_1031,12,"[2,3]",4,False,97,3,1,-1,1,"[{""m1"":4,""m2"":10,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":19,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,7,"[0,0,1]","[[5,-1,-3],[-1,4,0],[-3,0,7]]","[[1,7,2,6],[3,13,4,12],[5,15,6,14],[7,18,8,19],[9,20,10,21],[11,5,12,4],[13,3,14,2],[15,22,16,23],[17,24,18,1],[19,8,20,9],[21,10,22,11],[23,16,24,17]]"
12a_1099,12,"[2,3]",4,False,217,5,1,-1,3,"[{""m1"":4,""m2"":16,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":31,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":12,""a"":3,""two_m1_minus_1"":11,""two_m2_minus_1"":23,""matrix"":[[6,1,3,0],[1,2,0,0],[3,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":10,""a"":6,""two_m1_minus_1"":19,""two_m2_minus_1"":19,""matrix"":[[10,1,6,0],[1,2,0,0],[6,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,1,0]","[[4,-1,-1,-1,0],[-1,4,-2,0,-1],[-1,-2,4,0,0],[-1,0,0,5,-1],[0,-1,0,-1,2]]","[[1,7,2,6],[3,12,4,13],[5,21,6,20],[7,16,8,17],[9,18,10,19],[11,22,12,23],[13,4,14,5],[15,24,16,1],[17,8,18,9],[19,3,20,2],[21,14,22,15],[23,10,24,11]]"
12a_1107,12,"[2,3]",4,False,113,3,1,-1,2,"[{""m1"":2,""m2"":20,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":39,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,20,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":12,""a"":9,""two_m1_minus_1"":19,""two_m2_minus_1"":23,""matrix"":[[10,1,9,0],[1,2,0,0],[9,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,7,"[0,1,0]","[[6,-2,-1],[-2,7,-2],[-1,-2,4]]","[[1,7,2,6],[3,12,4,13],[5,21,6,20],[7,1,8,24],[9,16,10,17],[11,18,12,19],[13,4,14,5],[15,22,16,23],[17,10,18,11],[19,3,20,2],[21,14,22,15],[23,9,24,8]]"
12a_1115,12,"[2,4]",4,False,165,5,1,-1,4,"[{""m1"":2,""m2"":28,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":55,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,28,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":0,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,0,0],[1,2,0,0],[0,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":10,""a"":7,""two_m1_minus_1"":19,""two_m2_minus_1"":19,""matrix"":[[10,1,7,0],[1,2,0,0],[7,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":42,""m2"":42,""a"":41,""two_m1_minus_1"":83,""two_m2_minus_1"":83,""matrix"":[[42,1,41,0],[1,2,0,0],[41,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,"[3,4]",9,"[0,1,0,1,0]","[[4,-2,-1,0,0],[-2,7,-2,0,-1],[-1,-2,4,0,0],[0,0,0,2,-1],[0,-1,0,-1,2]]","[[1,7,2,6],[3,12,4,13],[5,23,6,22],[7,16,8,17],[9,18,10,19],[11,20,12,21],[13,4,14,5],[15,24,16,1],[17,10,18,11],[19,8,20,9],[21,3,22,2],[23,14,24,15]]"
12a_1116,12,"[2,4]",4,False,185,5,1,-1,4,"[{""m1"":2,""m2"":32,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":63,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,32,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":14,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":27,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":10,""a"":5,""two_m1_minus_1"":15,""two_m2_minus_1"":19,""matrix"":[[8,1,5,0],[1,2,0,0],[5,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":16,""m2"":18,""a"":15,""two_m1_minus_1"":31,""two_m2_minus_1"":35,""matrix"":[[16,1,15,0],[1,2,0,0],[15,0,18,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,"[3,4]",9,"[0,1,0,1,0]","[[4,-2,-1,0,0],[-2,5,-2,0,-1],[-1,-2,4,0,0],[0,0,0,4,-1],[0,-1,0,-1,2]]","[[1,7,2,6],[3,12,4,13],[5,23,6,22],[7,18,8,19],[9,20,10,21],[11,16,12,17],[13,4,14,5],[15,24,16,1],[17,10,18,11],[19,8,20,9],[21,3,22,2],[23,14,24,15]]"
12a_1210,12,"[2,3]",4,False,165,4,1,-1,4,"[{""m1"":2,""m2"":28,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":55,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,28,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":0,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,0,0],[1,2,0,0],[0,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":10,""m2"":10,""a"":7,""two_m1_minus_1"":19,""two_m2_minus_1"":19,""matrix"":[[10,1,7,0],[1,2,0,0],[7,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":42,""m2"":42,""a"":41,""two_m1_minus_1"":83,""two_m2_minus_1"":83,""matrix"":[[42,1,41,0],[1,2,0,0],[41,0,42,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,1,0,0]","[[5,-3,0,-1],[-3,8,-3,-1],[0,-3,5,-1],[-1,-1,-1,3]]","[[1,9,2,8],[3,10,4,11],[5,12,6,13],[7,15,8,14],[9,18,10,19],[11,4,12,5],[13,21,14,20],[15,22,16,23],[17,24,18,1],[19,3,20,2],[21,6,22,7],[23,16,24,17]]"
12a_1278,12,"[2,3]",4,False,41,2,1,-1,2,"[{""m1"":2,""m2"":8,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":15,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":6,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":11,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,6,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,6,"[0,1]","[[11,-5],[-5,6]]","[[1,9,2,8],[3,14,4,15],[5,16,6,17],[7,18,8,19],[9,1,10,24],[11,23,12,22],[13,21,14,20],[15,4,16,5],[17,6,18,7],[19,2,20,3],[21,13,22,12],[23,11,24,10]]"
12a_1286,12,"[2,3]",4,False,45,2,1,-1,3,"[{""m1"":2,""m2"":8,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":15,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":4,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":7,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,4,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":12,""m2"":12,""a"":11,""two_m1_minus_1"":23,""two_m2_minus_1"":23,""matrix"":[[12,1,11,0],[1,2,0,0],[11,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,6,"[0,1]","[[9,-3],[-3,6]]","[[1,9,2,8],[3,18,4,19],[5,14,6,15],[7,16,8,17],[9,1,10,24],[11,23,12,22],[13,21,14,20],[15,6,16,7],[17,2,18,3],[19,4,20,5],[21,13,22,12],[23,11,24,10]]"
13a_16,13,"[2,3]",4,False,177,5,1,-1,2,"[{""m1"":2,""m2"":30,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":59,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,30,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":16,""m2"":16,""a"":14,""two_m1_minus_1"":31,""two_m2_minus_1"":31,""matrix"":[[16,1,14,0],[1,2,0,0],[14,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,0,1]","[[8,-1,0,-1,-5],[-1,2,0,0,0],[0,0,4,-1,-2],[-1,0,-1,2,0],[-5,0,-2,0,7]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[9,5,10,4],[5,13,6,12],[13,7,14,6],[19,10,20,11],[11,20,12,21],[21,14,22,15],[15,22,16,23],[23,16,24,17],[17,24,18,25],[25,18,26,19]]"
