knot,interval,det,signature,status,mG0,Qe_params
13a_203,"[2, 3]",281,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 48, 1, 3, 95], [8, 10, 1, 15, 19], [6, 14, 2, 11, 27], [8, 12, 4, 15, 23], [24, 26, 23, 47, 51]]"
13a_209,"[2, 3]",345,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 58, 0, 3, 115], [8, 12, 0, 15, 23], [10, 10, 2, 19, 19], [30, 30, 28, 59, 59]]"
13a_237,"[2, 3]",177,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 30, 0, 3, 59], [16, 16, 14, 31, 31]]"
13a_273,"[2, 3]",357,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 60, 0, 3, 119], [4, 26, 0, 7, 51], [10, 10, 1, 19, 19], [90, 90, 89, 179, 179]]"
13a_329,"[2, 3]",293,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 50, 1, 3, 99], [6, 14, 1, 11, 27], [4, 24, 3, 7, 47], [10, 12, 6, 19, 23], [74, 74, 73, 147, 147]]"
13a_358,"[2, 3]",297,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 50, 0, 3, 99], [6, 14, 0, 11, 27], [4, 22, 1, 7, 43], [10, 10, 4, 19, 19], [12, 14, 9, 23, 27], [26, 26, 24, 51, 51]]"
13a_415,"[2, 3]",261,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 44, 0, 3, 87], [6, 14, 3, 11, 27], [10, 10, 5, 19, 19], [8, 14, 6, 15, 27], [14, 16, 12, 27, 31], [66, 66, 65, 131, 131]]"
13a_419,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
13a_423,"[2, 3]",217,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 16, 0, 7, 31], [6, 12, 3, 11, 23], [10, 10, 6, 19, 19]]"
13a_434,"[2, 3]",253,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 12, 0, 11, 23], [64, 64, 63, 127, 127]]"
13a_438,"[2, 3]",345,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 58, 0, 3, 115], [8, 12, 0, 15, 23], [10, 10, 2, 19, 19], [30, 30, 28, 59, 59]]"
13a_440,"[2, 3]",333,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 56, 0, 3, 111], [12, 12, 7, 23, 23], [10, 16, 8, 19, 31], [84, 84, 83, 167, 167]]"
13a_443,"[2, 3]",265,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 22, 3, 7, 43], [10, 16, 9, 19, 31]]"
13a_448,"[2, 3]",189,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 32, 0, 3, 63], [4, 14, 0, 7, 27], [8, 8, 3, 15, 15], [6, 12, 4, 11, 23], [10, 14, 9, 19, 27], [48, 48, 47, 95, 95]]"
13a_457,"[2, 3]",137,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 24, 1, 3, 47], [12, 14, 11, 23, 27]]"
13a_569,"[2, 3]",241,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 18, 1, 7, 35], [6, 16, 5, 11, 31], [10, 12, 7, 19, 23]]"
13a_571,"[2, 3]",249,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 42, 0, 3, 83], [6, 12, 1, 11, 23], [8, 10, 3, 15, 19], [22, 22, 20, 43, 43]]"
